== ls-test  (gold COMMIT 503)
  base   WER 5.27
  r1     WER 4.68 | bias=-2: 1.00/0.02/0.03 n8 lat0.34 | bias=-1: 0.83/0.04/0.07 n23 lat0.34 | bias=0: 0.81/0.09/0.16 n56 lat0.34 | bias=1: 0.78/0.17/0.29 n119 lat0.35 | bias=2: 0.70/0.24/0.35 n185 lat0.35
  r2     WER 4.90 | bias=-2: 0.87/0.03/0.05 n15 lat0.34 | bias=-1: 0.84/0.05/0.10 n32 lat0.34 | bias=0: 0.82/0.11/0.19 n67 lat0.34 | bias=1: 0.76/0.17/0.27 n117 lat0.34 | bias=2: 0.72/0.29/0.41 n215 lat0.35
  r3     WER 5.05 | bias=-2: 0.87/0.55/0.67 n343 lat0.35 | bias=-1: 0.85/0.68/0.75 n445 lat0.35 | bias=0: 0.78/0.77/0.78 n548 lat0.35 | bias=1: 0.73/0.83/0.78 n643 lat0.35 | bias=2: 0.66/0.89/0.76 n762 lat0.35
  r5     WER 5.18 | bias=-2: 0.89/0.50/0.64 n299 lat0.35 | bias=-1: 0.88/0.61/0.72 n377 lat0.35 | bias=0: 0.84/0.71/0.77 n461 lat0.35 | bias=1: 0.81/0.78/0.80 n536 lat0.35 | bias=2: 0.76/0.83/0.79 n612 lat0.35
== gs-test  (gold COMMIT 192)
  base  WER 14.92
  r1    WER 14.17 | bias=-2: nan/0.00/0.00 n0 latnan | bias=-1: nan/0.00/0.00 n0 latnan | bias=0: 1.00/0.01/0.01 n1 lat0.32 | bias=1: 0.75/0.02/0.03 n4 lat0.32 | bias=2: 0.79/0.06/0.11 n14 lat0.32
  r2    WER 14.44 | bias=-2: nan/0.00/0.00 n0 latnan | bias=-1: nan/0.00/0.00 n0 latnan | bias=0: 1.00/0.01/0.01 n1 lat0.32 | bias=1: 0.80/0.02/0.04 n5 lat0.32 | bias=2: 0.83/0.10/0.18 n23 lat0.32
  r3    WER 14.70 | bias=-2: 0.91/0.25/0.39 n54 lat0.32 | bias=-1: 0.88/0.36/0.51 n81 lat0.32 | bias=0: 0.88/0.49/0.63 n110 lat0.32 | bias=1: 0.85/0.60/0.71 n142 lat0.32 | bias=2: 0.82/0.68/0.74 n168 lat0.32
  r5    WER 14.66 | bias=-2: 0.89/0.27/0.41 n58 lat0.32 | bias=-1: 0.87/0.36/0.51 n80 lat0.32 | bias=0: 0.87/0.46/0.61 n106 lat0.32 | bias=1: 0.85/0.58/0.69 n139 lat0.32 | bias=2: 0.80/0.64/0.71 n165 lat0.32
== ks-eval  (gold COMMIT 247)
  base  CER 12.72
  r1    CER 12.80 | bias=-2: 0.98/0.34/0.50 n89 lat0.34 | bias=-1: 0.95/0.41/0.57 n110 lat0.34 | bias=0: 0.95/0.50/0.65 n137 lat0.34 | bias=1: 0.88/0.58/0.70 n176 lat0.34 | bias=2: 0.84/0.67/0.75 n217 lat0.34
  r2    CER 12.72 | bias=-2: 0.99/0.31/0.47 n80 lat0.34 | bias=-1: 0.94/0.44/0.60 n121 lat0.34 | bias=0: 0.93/0.52/0.67 n149 lat0.34 | bias=1: 0.85/0.60/0.71 n185 lat0.34 | bias=2: 0.78/0.68/0.73 n233 lat0.34
  r3    CER 12.64 | bias=-2: 0.78/0.87/0.82 n305 lat0.34 | bias=-1: 0.72/0.89/0.80 n342 lat0.34 | bias=0: 0.65/0.91/0.76 n389 lat0.34 | bias=1: 0.62/0.94/0.75 n425 lat0.34 | bias=2: 0.57/0.96/0.71 n472 lat0.34
  r5    CER 12.06 | bias=-2: 0.85/0.83/0.84 n264 lat0.34 | bias=-1: 0.81/0.87/0.84 n296 lat0.34 | bias=0: 0.76/0.89/0.82 n322 lat0.34 | bias=1: 0.72/0.91/0.80 n351 lat0.34 | bias=2: 0.68/0.93/0.78 n381 lat0.34
== ks-long  (gold COMMIT 155)
  base  CER 10.96
  r1    CER 10.82 | bias=-2: 0.91/0.19/0.31 n35 lat0.36 | bias=-1: 0.91/0.32/0.47 n60 lat0.36 | bias=0: 0.82/0.48/0.60 n101 lat0.35 | bias=1: 0.74/0.61/0.67 n145 lat0.36 | bias=2: 0.68/0.74/0.71 n192 lat0.36
  r2    CER 10.96 | bias=-2: 0.83/0.28/0.42 n56 lat0.37 | bias=-1: 0.84/0.37/0.52 n78 lat0.37 | bias=0: 0.80/0.51/0.62 n115 lat0.36 | bias=1: 0.71/0.65/0.68 n162 lat0.37 | bias=2: 0.62/0.75/0.68 n218 lat0.37
  r3    CER 10.53 | bias=-2: 0.72/0.83/0.77 n209 lat0.37 | bias=-1: 0.59/0.89/0.71 n267 lat0.36 | bias=0: 0.51/0.92/0.66 n316 lat0.36 | bias=1: 0.42/0.94/0.58 n382 lat0.36 | bias=2: 0.36/0.95/0.53 n448 lat0.35
  r5    CER 10.83 | bias=-2: 0.77/0.84/0.80 n191 lat0.36 | bias=-1: 0.68/0.89/0.77 n229 lat0.36 | bias=0: 0.61/0.91/0.73 n258 lat0.36 | bias=1: 0.55/0.93/0.69 n291 lat0.36 | bias=2: 0.48/0.93/0.63 n332 lat0.36
